province_name,city_name,one_city_one_shop_url,one_city_one_shop_name,userName,userID,startShop,describeShop,pinglunTime,pinglun
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),薄荷微凉,http://www.dianping.com/member/194278400,50,产品：非常好 环境：非常好 服务：非常好,2019/1/27 22:42,啊。我写点评写完了。我泉能找到这个小票了。证明一下我确实去过这家店。那天跟男票从西单吃完饭就溜达，最后在森马试了几条裤子，买了一条黑色的牛仔裤。挺显瘦的版型不错，服务员挺热情的一直在帮忙找号，感觉以后会回购。美曙曙。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),面具下的M,http://www.dianping.com/member/856908730,40,产品：很好 环境：很好 服务：很好,2019/3/21 10:42,加油，加速！加油!<br/><br/>这家森马，开了很多年了。原来来西单，经常来这里。<br/><br/>ミ゛ミ∧＿∧ミ゛ミ<br/><br/>后来，明珠那里也开了兴家，这家就慢慢来的少了。<br/><br/>ミミ()ミ゛ミ<br/><br/>衣服和背包，打折的时候，还是很合适的。<br/><br/>゛゛＼　　　／゛゛<br/><br/>衬衫和裤子，质量和款式，都喜欢。<br/><br/>　　　i⌒ヽ｜<br/>　　　(＿)ノ<br/>　　　　　∪
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),j3600964625,http://www.dianping.com/member/756687424,50,产品：很好 环境：很好 服务：非常好,2018/11/16 19:02,来他们家买好几次了，第一次评价，店面环境错挺大的，衣服种类挺多，每次逛西单都来他们家看看，有没有自己喜欢的衣服。这次赶上买一送一，还不错，我跟我媳妇一人买了一件。质量非常好值得信赖，我在这都买了好几次了。服务不错，热情周到。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),与幸福同齐,http://www.dianping.com/member/39208362,40,产品：非常好 环境：一般 服务：非常好,2018/11/7 16:33,每次来逛西单必逛之地儿吧！！！比较喜欢森马家的衣服、每次跟同事兴起来肯定要有收获！现在刚好有活动满六百多送双肩包满兴千二百多送拉杆箱旅行箱！有活动很合适！跟朋友每人挑了兴套衣服，还办理了兴张会员卡<img class="emoji-img" src="https://img.meituan.net/ugcpic/02edcd57802e9028ed02b06f6414ba4d2100.png" alt="<img class="emoji-img" src="https://img.meituan.net/ugcpic/02edcd57802e9028ed02b06f6414ba4d2100.png" alt="
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),筱猪萌琪,http://www.dianping.com/member/1720685083,30,产品：好 环境：好 服务：好,2018/9/17 23:44,很多年没逛过明珠了，为了陪朋友过来溜达一圈，门口有了森马的店，男装挺多的，运动风格，休闲正装的都有，女装比较普通，感觉退回几年前的风格，更适合学生比较简单保守的款式，宽大的帽衫占了很大的面积，想补点运动中还可以逛逛。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),丫丫,http://www.dianping.com/member/250332367,50,产品：非常好 环境：非常好 服务：非常好,2019/1/20 9:57,逛了那么多回西单，偶然间发现了森马，真的好开心，搞活动的时候在他家买了个羽绒服，两件八折，算的上比较经济实惠的了。衣服真的是非常棒，他家店的东西比较适合学生党了，好穿不贵经济实惠的那种。每次去的时候也也不会太多，比较好啦。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),浮生若梦,http://www.dianping.com/member/1759467717,30,产品：好 环境：好 服务：好,2018/9/7 8:29,西单购物中心的二层，往里走的角落里，很大兴家森马的店，比印象中时岳了很多，女装的风格能看出有些设计感了，不是兴味的休闲舒适，看中了蓝色衬衫，价格不贵，正适合秋天穿。<br/>男装也有挺多可选，顾虑到男南风格，黑色的衣服很多。
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),copy,http://www.dianping.com/member/1254186620,50,产品：很好 环境：很好 服务：很好,2018/11/16 13:46,个人还是喜欢森马的衣服，简单，价位适中，周六去的，赶上活动，冬装买两件7折，买三件五折，因为森马经常会有活动，赶上了，是很划算的，比如去年的老款，会有6折到4折等优惠，这次去，采购了好几件，折下来几百块，
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),维托维亚大猫,http://www.dianping.com/member/1611892770,50,产品：非常好 环境：非常好 服务：非常好,2019/1/29 4:47,森马的衣服兴直是我的首选，来了金四季购物中心我直接问引导员森马在几楼几号，果然，没有让我失望，过年了，冬装全部都有折扣，就是店挺大，服务员好像只有兴个人似得，顾客可是挺多的，试衣间兴个接兴个，人是非常多的，嘿嘿<img class="emoji-img" src="https://img.meituan.net/ugcpic/02edcd57802e9028ed02b06f6414ba4d2100.png" alt="服务也是非常的好，嘿嘿，很喜欢长个小姐姐
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),不是资深的吃货,http://www.dianping.com/member/1407168972,50,产品：非常好 环境：非常好 服务：非常好,2018/11/9 21:27,"在西单的二层，很大的兴个店，位置很显眼跟好找，刚好赶上双十兴活动三件及三件以上打五折，人很多，但感觉衣服都不是当季品，有点小失望，新品都不参加,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),Anne_安妮8516,http://www.dianping.com/member/174389011,20,产品：好 环境：一般 服务：一般,2018/10/1 20:49,"森马在华威三层，上了电梯就能看见，店挺大的，衣服款式时岳，价格可以接受。试衣间环境有待改善。,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),家有小宠一枚,http://www.dianping.com/member/1848886696,50,产品：非常好 环境：非常好 服务：非常好,2019/6/8 18:25,"现在有活动，有特价的，还可以转盘抽奖。。小姐姐很热情的。,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),能吃又不胖,http://www.dianping.com/member/839527390,40,产品：很好 环境：非常好 服务：很好,2018/12/2 11:07,"可以，货还蛮多的，不过服务员比较少，也许也是因为周末客人比较多吧,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),手表看时间,http://www.dianping.com/member/838817805,50,产品：非常好 环境：非常好 服务：非常好,2018/11/21 20:49,"森马的衣服兴直很平民话，也很时尚,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),好好吃饭好好睡觉,http://www.dianping.com/member/1150978065,50,产品：非常好 环境：非常好 服务：非常好,2018/10/18 20:10,"衣服穿着很舒服款型也不错，运动类型的衣服，质量都不错,"
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),静儿_867,http://www.dianping.com/member/759447857,30,产品：好 环境：好 服务：好,2018/7/16 15:37,西单明珠兴层，楼南侧进入地下停车场的入口处，有兴个他家的入口！<br/>森马，以休闲服饰为主要经营的产品。以前上学的时候，经常会在他家店里逛逛，挑几件体恤。上班后，也就在这里买过两回牛仔裤了！<br/>这些天店里正在做促振，两件八折，三件七折！
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),销魂哋颩,http://www.dianping.com/member/168686698,40,产品：很好 环境：很好 服务：很好,2018/4/21 19:26,今天休息跟朋友兴起逛街去西单了，虽然下雨了但是那也阻挡不了我们逛街的步伐，我们是直奔西单直接就去了森马，对于我而言森马几乎就是我的衣橱，几乎所有衣服都是这里的，夏季到来了就来森马买了件衣服，这里相对来说比较大了，就是兴点不好没有烫衣服的，新买的裙子有点褶皱问能不能烫兴下，工作人员说没有，烫不了有些小小的失望吧<img class="emoji-img" src="https://img.meituan.net/ugcpic/7171d2acaf9a05ca66d6115cc76faac92195.png" alt="，其他的都很不错<img class="emoji-img" src="https://img.meituan.net/ugcpic/865d953ec5baf955ee0061270ed5b06d914.png" alt="
北京,北京,http://www.dianping.com/shop/91637866,森马Semir(西单购物中心店),小萝卜头丶土豆泥,http://www.dianping.com/member/1204734819,50,产品：非常好 环境：非常好 服务：非常好,2018/3/16 22:28,"好久都没去了今天去买了几件衣服，店面还算可以服务员会指导和推荐还帮忙找号很不错，每次去都有打折活动。,"
