senior_class,senior_id,content,product_name,gid,market_price,order_overdue,price_min,sale_mode,sale_count,sale_fee,summary,url,start_time,Img800,comment_tag,create_time,end_time,one_size_pid,one_size_saled,one_size_inventory,one_size_name
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6168,3241,147,七面植鞣皮黄铜扣手工皮带 棕色 （XL/34码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6167,3931,121,七面植鞣皮黄铜扣手工皮带 棕色 （L/32码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6169,2307,106,七面植鞣皮黄铜扣手工皮带 棕色 （XXL/36码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6160,852,73,七面植鞣皮黄铜扣手工皮带 黑色 （S/28码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6162,2689,180,七面植鞣皮黄铜扣手工皮带 黑色 （L/32码）
服装配饰,93,配饰,七面植鞣皮黄铜扣手工皮带,100390,139.0,7200,129.0,301,0,0,经典美式风潮，牛仔休闲更有范,http://m.youpin.mi.com/shop/detail?gid=100390,00-00-00,http://img.youpin.mi-img.com/800_pic/100390_2yy1ofp2oh33v.png,		质量好|402	高性价比|202	漂亮美观|143	好用|59	手感佳|40	做工精致|29	包装好|21	使用舒适|20	尺码贴合|16	质量一般|20	物流不好|8,2018-07-18,00-00-00,6161,1933,84,七面植鞣皮黄铜扣手工皮带 黑色 （M/30码）
服装配饰,93,配饰,七面意大利真皮双面用皮带,101087,139.0,7200,129.0,301,0,0,进口高品质皮料，双色双面可用，可修剪长度,http://m.youpin.mi.com/shop/detail?gid=101087,00-00-00,http://img.youpin.mi-img.com/800_pic/101087_14lic1ntfvawi.png,		质量好|288	高性价比|149	漂亮美观|66	好用|53	手感佳|23	包装好|22	使用舒适|12	做工精致|6	质量一般|12	软硬度一般|4,2018-07-27,00-00-00,7946,23636,1260,七面意大利真皮双面商务皮带
服装配饰,93,配饰,七面意大利真皮自动扣皮带,102482,149.0,7200,139.0,301,0,0,精致商务，创新结构合金扣，可裁剪长度,http://m.youpin.mi.com/shop/detail?gid=102482,00-00-00,http://img.youpin.mi-img.com/800_pic/102482_56ae9e94e26e2bcd314a44968d2272c8.png,		质量好|175	高性价比|103	好用|60	包装好|38	漂亮美观|35	手感佳|20	使用舒适|11	做工精致|3	质量一般|7	材质一般|2,2018-07-13,00-00-00,13157,13953,184,七面意大利真皮自动扣皮带
服装配饰,93,配饰,七面意大利真皮自动扣皮带（星云系列）,103912,149.0,7200,129.0,301,0,0,意大利皮料，酷黑合金扣，直边设计，可裁长度,http://m.youpin.mi.com/shop/detail?gid=103912,00-00-00,https://img.youpin.mi-img.com/800_pic/735e35ea07fa8661a4a0089579a318b8.png,		质量好|107	漂亮美观|37	高性价比|34	好用|22	包装好|13	手感佳|13	做工精致|3	使用舒适|1,2018-10-17,00-00-00,18347,9033,576,七面意大利真皮自动扣皮带（星云系列）
服装配饰,93,配饰,七面意大利真皮针扣皮带（Elite系列）,104099,199.0,7200,179.0,301,0,0,304不锈钢扣，意大利十字纹皮料，均码长度，正反可用,http://m.youpin.mi.com/shop/detail?gid=104099,00-00-00,https://img.youpin.mi-img.com/800_pic/d83b5df82b55202e76e6815675536d8e.png,		质量好|21	高性价比|18	漂亮美观|7	手感佳|4	好用|3	包装好|2	做工精致|1,2018-11-02,00-00-00,19089,3376,289,七面意大利真皮针扣皮带（Elite系列）B3502正面黑背面棕黑色均码1条/盒
