"","channel","attrs","choosed_sku","choosed_channel","chayi_huizong"
"133","moshi_rank","sm_type","雪纺裙","商超",0.0659285996592667
"134","moshi_rank","sm_type","雪纺裙","地铺",0.0494712398996761
"135","moshi_rank","sm_type","雪纺裙","特卖",0.147954603712787
"136","moshi_rank","sm_type","梭织/化纤裙","NULL",0.032076302980896
"137","moshi_rank","sm_type","梭织/化纤裙","SPM",0.0528061858388912
"138","moshi_rank","sm_type","梭织/化纤裙","商超",0.0209016348439685
"139","moshi_rank","sm_type","梭织/化纤裙","地铺",0.0315050218151598
"140","moshi_rank","sm_type","梭织/化纤裙","特卖",0.0537997232152178
"141","moshi_rank","sm_type","牛仔裙","NULL",0.053353638227892
"142","moshi_rank","sm_type","牛仔裙","SPM",0.103564741279998
"143","moshi_rank","sm_type","牛仔裙","商超",0.0562815960108342
"144","moshi_rank","sm_type","牛仔裙","地铺",0.0412816813988338
"145","moshi_rank","sm_type","牛仔裙","特卖",0.106217705244521
"146","moshi_rank","sm_type","蕾丝/镂空裙","NULL",0.0743093998182357
"147","moshi_rank","sm_type","蕾丝/镂空裙","SPM",0.0860295011038441
"148","moshi_rank","sm_type","蕾丝/镂空裙","商超",0.0934149454786779
"149","moshi_rank","sm_type","蕾丝/镂空裙","地铺",0.0597215203262185
"150","moshi_rank","sm_type","蕾丝/镂空裙","特卖",0.0836601796561792
"151","moshi_rank","sm_type","衬衫/棉质裙","NULL",0.050732909505058
"152","moshi_rank","sm_type","衬衫/棉质裙","SPM",0.0663015360369598
"153","moshi_rank","sm_type","衬衫/棉质裙","商超",0.0510705684461839
"154","moshi_rank","sm_type","衬衫/棉质裙","地铺",0.0579968427152983
"155","moshi_rank","sm_type","衬衫/棉质裙","特卖",0.068127795257316
"156","moshi_rank","sm_type","毛织裙","NULL",0.166666666666667
"157","moshi_rank","sm_type","毛织裙","SPM",0.166666666666667
"158","moshi_rank","sm_type","毛织裙","商超",0.111111111111111
"159","moshi_rank","sm_type","毛织裙","地铺",0.0833333333333333
"160","nzb","xiuchang","短袖","中",0.0453808298203977
"161","nzb","xiuchang","短袖","北",0.03546315606817
"162","nzb","xiuchang","短袖","南",0.0505465112229673
"163","nzb","xiuchang","无袖","中",0.0253881023560908
"164","nzb","xiuchang","无袖","北",0.0312297623406208
"165","nzb","xiuchang","无袖","南",0.0511817068047362
"166","nzb","xiuchang","露肩袖","中",0.0708039903156263
"167","nzb","xiuchang","露肩袖","北",0.0790819836423425
"168","nzb","xiuchang","露肩袖","南",0.0784764622826618
"169","nzb","xiuchang","背带","中",0.0829454006104276
"170","nzb","xiuchang","背带","北",0.0666666666666667
"171","nzb","xiuchang","背带","南",0.111111111111111
"172","nzb","xiuchang","中袖","中",0.0544495137011047
"173","nzb","xiuchang","中袖","北",0.0487005414616791
"174","nzb","xiuchang","中袖","南",0.0588965169432921
"175","nzb","xiuchang","长袖","中",0.112351716412081
"176","nzb","xiuchang","长袖","北",0.0965190100345468
"177","nzb","xiuchang","长袖","南",0.102459951460923
"178","nzb","xiuchang","吊带","中",0.123483837733013
"179","nzb","xiuchang","吊带","北",0.121429528760344
"180","nzb","xiuchang","吊带","南",0.14873470361859
"181","provi_rank","xiuchang","短袖","县级",0.0370163708758036
"182","provi_rank","xiuchang","短袖","地级",0.0438966259608132
"183","provi_rank","xiuchang","短袖","直辖",0.0434186979919443
"184","provi_rank","xiuchang","短袖","省级",0.0540621285883214
"185","provi_rank","xiuchang","短袖","镇级",0.0354919588895937
"186","provi_rank","xiuchang","无袖","县级",0.0315138144809783
"187","provi_rank","xiuchang","无袖","地级",0.0400244291980398
"188","provi_rank","xiuchang","无袖","直辖",0.0426020877298567
"189","provi_rank","xiuchang","无袖","省级",0.043777399992589
"190","provi_rank","xiuchang","无袖","镇级",0.0363621748504363
"191","provi_rank","xiuchang","露肩袖","县级",0.0752258271549169
"192","provi_rank","xiuchang","露肩袖","地级",0.0836188643206255
"193","provi_rank","xiuchang","露肩袖","直辖",0.108995042456571
"194","provi_rank","xiuchang","露肩袖","省级",0.094448692774741
"195","provi_rank","xiuchang","露肩袖","镇级",0.0744817683718324
"196","provi_rank","xiuchang","背带","县级",0.095169602076675
"197","provi_rank","xiuchang","背带","地级",0.0740740740740741
"198","provi_rank","xiuchang","背带","直辖",0.124092191161445
"199","provi_rank","xiuchang","背带","省级",0.166666666666667
"200","provi_rank","xiuchang","背带","镇级",0.111111111111111
"201","provi_rank","xiuchang","中袖","县级",0.0526577414014569
"202","provi_rank","xiuchang","中袖","地级",0.0550902928860003
"203","provi_rank","xiuchang","中袖","直辖",0.0460555986713457
"204","provi_rank","xiuchang","中袖","省级",0.0571826262620055
"205","provi_rank","xiuchang","中袖","镇级",0.0529524945305051
"206","provi_rank","xiuchang","长袖","县级",0.0990260308827412
"207","provi_rank","xiuchang","长袖","地级",0.125172499793164
"208","provi_rank","xiuchang","长袖","直辖",0.104566057296673
"209","provi_rank","xiuchang","长袖","省级",0.13814742087804
"210","provi_rank","xiuchang","长袖","镇级",0.126488789281908
"211","provi_rank","xiuchang","吊带","县级",0.111252243017833
"212","provi_rank","xiuchang","吊带","地级",0.101834535655349
"213","provi_rank","xiuchang","吊带","直辖",0.164125654802914
"214","provi_rank","xiuchang","吊带","省级",0.389870865151673
"215","provi_rank","xiuchang","吊带","镇级",0.215870390852279
"216","city_rank","xiuchang","短袖","一线",0.0476212163347085
"217","city_rank","xiuchang","短袖","三线",0.0361555219891158
"218","city_rank","xiuchang","短袖","二线",0.0418280659976035
"219","city_rank","xiuchang","短袖","四线",0.0372518896823673
"220","city_rank","xiuchang","短袖","特一线",0.0543079175393781
"221","city_rank","xiuchang","无袖","一线",0.038720801024761
"222","city_rank","xiuchang","无袖","三线",0.0322218903708827
