index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
1印花省市级别,面料,1印花,省市级别,省级,0.213129592,mianliao,provi_rank,104
1印花省市级别,面料,1印花,省市级别,地级,0.209225877,mianliao,provi_rank,106
1印花城市级别,面料,1印花,城市级别,四线,0.207195575,mianliao,city_rank,111
1印花南中北,面料,1印花,南中北,南,0.20272395,mianliao,nzb,114
1印花省市级别,面料,1印花,省市级别,镇级,0.196719486,mianliao,provi_rank,118
1印花城市级别,面料,1印花,城市级别,一线,0.192003544,mianliao,city_rank,126
1印花模式,面料,1印花,模式,地铺,0.185970336,mianliao,moshi_rank,140
1印花城市级别,面料,1印花,城市级别,三线,0.180607767,mianliao,city_rank,147
1印花省市级别,面料,1印花,省市级别,县级,0.177880758,mianliao,provi_rank,149
1印花南中北,面料,1印花,南中北,北,0.177388276,mianliao,nzb,150
1印花面积段,面料,1印花,面积段,"(200,400]",0.168756296,mianliao,area_rank,163
1印花模式,面料,1印花,模式,特卖,0.153194655,mianliao,moshi_rank,196
1印花模式,面料,1印花,模式,NULL,0.151997661,mianliao,moshi_rank,197
1印花面积段,面料,1印花,面积段,"[0,200]",0.119167794,mianliao,area_rank,255
1棉质模式,面料,1棉质,模式,SPM,0.333763661,mianliao,moshi_rank,39
1棉质面积段,面料,1棉质,面积段,"(600,800]",0.333563342,mianliao,area_rank,40
1棉质省市级别,面料,1棉质,省市级别,镇级,0.333444945,mianliao,provi_rank,41
1棉质模式,面料,1棉质,模式,特卖,0.333278746,mianliao,moshi_rank,42
1棉质省市级别,面料,1棉质,省市级别,直辖,0.172062847,mianliao,provi_rank,158
1棉质城市级别,面料,1棉质,城市级别,四线,0.169458923,mianliao,city_rank,161
1棉质面积段,面料,1棉质,面积段,"(200,400]",0.168536655,mianliao,area_rank,164
1棉质面积段,面料,1棉质,面积段,"(400,600]",0.168091985,mianliao,area_rank,165
1棉质省市级别,面料,1棉质,省市级别,地级,0.167486237,mianliao,provi_rank,166
1棉质南中北,面料,1棉质,南中北,南,0.165829864,mianliao,nzb,175
1棉质南中北,面料,1棉质,南中北,北,0.141247197,mianliao,nzb,214
1棉质模式,面料,1棉质,模式,地铺,0.13668829,mianliao,moshi_rank,219
1棉质城市级别,面料,1棉质,城市级别,三线,0.12667588,mianliao,city_rank,235
1棉质城市级别,面料,1棉质,城市级别,二线,0.124902353,mianliao,city_rank,238
1棉质省市级别,面料,1棉质,省市级别,县级,0.121278022,mianliao,provi_rank,246
1棉质模式,面料,1棉质,模式,商超,0.111319796,mianliao,moshi_rank,275
1棉质城市级别,面料,1棉质,城市级别,一线,0.10546185,mianliao,city_rank,295
1棉质省市级别,面料,1棉质,省市级别,省级,0.104619856,mianliao,provi_rank,299
1棉质南中北,面料,1棉质,南中北,中,0.100360267,mianliao,nzb,316
1棉质模式,面料,1棉质,模式,NULL,0.0840788,mianliao,moshi_rank,379
1棉质面积段,面料,1棉质,面积段,"[0,200]",0.078274557,mianliao,area_rank,407
1牛仔省市级别,面料,1牛仔,省市级别,直辖,0.415464448,mianliao,provi_rank,22.5
1牛仔面积段,面料,1牛仔,面积段,"(800,3e+03]",0.256467711,mianliao,area_rank,68.5
1牛仔面积段,面料,1牛仔,面积段,"(600,800]",0.225904536,mianliao,area_rank,88.5
1牛仔城市级别,面料,1牛仔,城市级别,一线,0.216462943,mianliao,city_rank,98.5
1牛仔城市级别,面料,1牛仔,城市级别,特一线,0.208514014,mianliao,city_rank,107.5
1牛仔省市级别,面料,1牛仔,省市级别,省级,0.20839936,mianliao,provi_rank,109.5
1牛仔模式,面料,1牛仔,模式,商超,0.19136107,mianliao,moshi_rank,128.5
1牛仔南中北,面料,1牛仔,南中北,中,0.188544648,mianliao,nzb,133.5
1牛仔模式,面料,1牛仔,模式,SPM,0.188362898,mianliao,moshi_rank,135.5
1牛仔面积段,面料,1牛仔,面积段,"(400,600]",0.161763029,mianliao,area_rank,181.5
1牛仔南中北,面料,1牛仔,南中北,南,0.121087818,mianliao,nzb,247.5
1牛仔城市级别,面料,1牛仔,城市级别,二线,0.11561059,mianliao,city_rank,262.5
1牛仔省市级别,面料,1牛仔,省市级别,地级,0.113785986,mianliao,provi_rank,265.5
1牛仔省市级别,面料,1牛仔,省市级别,镇级,0.113313331,mianliao,provi_rank,267.5
1牛仔模式,面料,1牛仔,模式,NULL,0.108956199,mianliao,moshi_rank,283.5
1牛仔面积段,面料,1牛仔,面积段,"(200,400]",0.103254574,mianliao,area_rank,303.5
1牛仔模式,面料,1牛仔,模式,地铺,0.101157594,mianliao,moshi_rank,312.5
1牛仔省市级别,面料,1牛仔,省市级别,县级,0.099079156,mianliao,provi_rank,319.5
1牛仔城市级别,面料,1牛仔,城市级别,三线,0.094776022,mianliao,city_rank,330.5
1牛仔南中北,面料,1牛仔,南中北,北,0.089254205,mianliao,nzb,359.5
1牛仔城市级别,面料,1牛仔,城市级别,四线,0.080798741,mianliao,city_rank,394.5
1牛仔面积段,面料,1牛仔,面积段,"[0,200]",0.080059242,mianliao,area_rank,399.5
1针织省市级别,面料,1针织,省市级别,省级,0.146387732,mianliao,provi_rank,203
1针织省市级别,面料,1针织,省市级别,直辖,0.109462279,mianliao,provi_rank,281
1针织面积段,面料,1针织,面积段,"(400,600]",0.103106324,mianliao,area_rank,305
1针织城市级别,面料,1针织,城市级别,一线,0.097455204,mianliao,city_rank,322
1针织南中北,面料,1针织,南中北,南,0.094085894,mianliao,nzb,336
1针织模式,面料,1针织,模式,地铺,0.090015648,mianliao,moshi_rank,354
1针织省市级别,面料,1针织,省市级别,地级,0.088399216,mianliao,provi_rank,363
1针织城市级别,面料,1针织,城市级别,二线,0.08604836,mianliao,city_rank,374
1针织南中北,面料,1针织,南中北,北,0.084166682,mianliao,nzb,378
1针织南中北,面料,1针织,南中北,中,0.083994244,mianliao,nzb,381
1针织城市级别,面料,1针织,城市级别,三线,0.076005809,mianliao,city_rank,411
1针织省市级别,面料,1针织,省市级别,县级,0.073718792,mianliao,provi_rank,421
1针织模式,面料,1针织,模式,NULL,0.071478939,mianliao,moshi_rank,429
1针织面积段,面料,1针织,面积段,"(200,400]",0.070353015,mianliao,area_rank,433
1针织面积段,面料,1针织,面积段,"[0,200]",0.063899101,mianliao,area_rank,454
1针织城市级别,面料,1针织,城市级别,四线,0.059031835,mianliao,city_rank,483
1针织模式,面料,1针织,模式,商超,0.058211269,mianliao,moshi_rank,487
