id,name,type,address,location,pname,cityname,adname,city
B0FFGIXGGV,森马(沈阳沙岭店),购物服务;服装鞋帽皮具店;品牌服装店,黄海路东湖市场,123.315848,41.794673,辽宁省,沈阳市,于洪区,辽宁省
B0FFFYAG4T,森马(财富广场),购物服务;服装鞋帽皮具店;品牌服装店,虎石财富广场1层,123.521211,41.940830,辽宁省,沈阳市,沈北新区,辽宁省
B00180F6FJ,森马(康平县人民医院西南),购物服务;服装鞋帽皮具店;品牌服装店,中心街405号附近,123.352635,42.738510,辽宁省,沈阳市,康平县,辽宁省
B00180F6FG,森马(法库红街店),购物服务;服装鞋帽皮具店;品牌服装店,法库镇红街3号楼,123.421874,42.506850,辽宁省,沈阳市,法库县,辽宁省
B00180D9BD,森马(枫杨路),购物服务;服装鞋帽皮具店;品牌服装店,枫阳路104号,123.342663,41.660964,辽宁省,沈阳市,苏家屯区,辽宁省
B0FFJ1MMTG,森马(沈阳苏家屯海棠街店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,枫杨路96号,123.344080,41.661141,辽宁省,沈阳市,苏家屯区,辽宁省
B0FFI8Q4YM,森马(龙之梦购物中心店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,滂江街22号龙之梦购物中心二层NF2-012A号,123.486694,41.806094,辽宁省,沈阳市,大东区,辽宁省
B0FFH2V59X,森马(上亿广场店),购物服务;服装鞋帽皮具店;品牌服装店,沈营大街587号上亿广场F1层,123.422984,41.690560,辽宁省,沈阳市,浑南区,辽宁省
B00180K5YL,森马(沈阳辽阳新运大街二店),购物服务;服装鞋帽皮具店;品牌服装店,东湖街32-3号附近,123.313424,41.794517,辽宁省,沈阳市,于洪区,辽宁省
B0FFJ4RVJ9,森马(欧亚新生活购物广场店),购物服务;服装鞋帽皮具店;品牌服装店,延安大街99号欧亚新生活B1层,125.305527,43.863674,吉林省,长春市,朝阳区,吉林省
B0FFH5BIFH,森马(亚泰富苑店),购物服务;服装鞋帽皮具店;品牌服装店,重庆路618号亚泰富苑购物中心F6层,125.327119,43.890996,吉林省,长春市,南关区,吉林省
B01AF0D44M,森马(长春重庆路潮人港专卖店),购物服务;服装鞋帽皮具店;品牌服装店,重庆路1517号地下一层A5A6号,125.331055,43.891578,吉林省,长春市,南关区,吉林省
B01AF0D3P0,森马(重庆路图书音像大厦东),购物服务;服装鞋帽皮具店;品牌服装店,重庆路426号,125.329373,43.891288,吉林省,长春市,南关区,吉林省
B0FFL0Z4KQ,森马(欧亚卖场奥特莱斯店),购物服务;服装鞋帽皮具店;品牌服装店,开运街169号欧亚卖场奥特莱斯F4,125.248651,43.843136,吉林省,长春市,朝阳区,吉林省
B0FFKT9JDR,森马(中东七彩城店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,湖西路与泰来街交汇处中东七彩城4层,125.278162,43.869924,吉林省,长春市,绿园区,吉林省
B0FFJD0A58,森马(砂之船中东奥莱店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,北人民大街4082号砂之船中东奥莱B1层,125.326996,43.947182,吉林省,长春市,宽城区,吉林省
B0FFJ7X7AZ,森马(车城万达广场),购物服务;服装鞋帽皮具店;品牌服装店,腾飞大路与西湖大路交汇(汽车公园南行200米)车城万达广场F2层,125.190959,43.828120,吉林省,长春市,绿园区,吉林省
B0FFHIN0X1,森马(住邦城市广场),购物服务;服装鞋帽皮具店;品牌服装店,青年路4255号住邦城市广场3F层,125.292419,43.940392,吉林省,长春市,宽城区,吉林省
B0FFH560WG,森马(利民街),购物服务;服装鞋帽皮具店;品牌服装店,利民街与德惠路交叉口东北150米,125.707136,44.537360,吉林省,长春市,德惠市,吉林省
B0FFGIRXWH,森马(欧亚长新购物中心店),购物服务;服装鞋帽皮具店;品牌服装店,长新东街3999号欧亚长新购物中心1层,125.368795,43.932286,吉林省,长春市,二道区,吉林省
B0FFG6PNUF,森马(昌盛街),购物服务;服装鞋帽皮具店;品牌服装店,德惠路198号附近,125.712125,44.535448,吉林省,长春市,德惠市,吉林省
B0FFG4LXM3,森马(新华大街店),购物服务;服装鞋帽皮具店;品牌服装店,新华大街与民乐路交叉口东北50米,125.837535,44.152374,吉林省,长春市,九台区,吉林省
B0FFG1UGXZ,森马(迅驰广场店),购物服务;服装鞋帽皮具店;品牌服装店,净月旅游开发区新城大街与博学路交汇迅驰广场二楼,125.417182,43.821163,吉林省,长春市,南关区,吉林省
B01AF0ZCFG,森马(天力时尚购物中心东),购物服务;服装鞋帽皮具店;品牌服装店,晨宇商贸大厦1号门西侧,125.656463,43.524088,吉林省,长春市,双阳区,吉林省
B01AF0ZAX5,森马(振兴街),购物服务;服装鞋帽皮具店;品牌服装店,德惠路298号,125.712079,44.535379,吉林省,长春市,德惠市,吉林省
B01AF09XO7,森马(金街花园东南店),购物服务;服装鞋帽皮具店;品牌服装店,黄龙府商贸街(金街花园东南),125.180060,44.431915,吉林省,长春市,农安县,吉林省
B0FFGXX4TT,森马(欢乐城),购物服务;服装鞋帽皮具店;品牌服装店,前进大街1889号欢乐城F2层,125.287994,43.831627,吉林省,长春市,朝阳区,吉林省
B01AF14NZI,森马(东发路店),购物服务;服装鞋帽皮具店;品牌服装店,公平路欧亚商超1层(东盛大街口),125.378813,43.870621,吉林省,长春市,二道区,吉林省
