id,品牌,名称,省份,城市,区县,地址,属性,经纬度,距离
B01D30LXHE,森马,森马(文化路店),黑龙江省,鸡西市,虎林市,文化路与解放西街交叉口西南100米,成人,"132.974038,45.766586",2894
B01CB00WFT,森马,森马(肇源县惠民医院西北),黑龙江省,大庆市,肇源县,中央大街159号,成人,"125.083104,45.518051",2862
B01CA000VK,森马,森马(中纬大街店),黑龙江省,伊春市,南岔区,中经路34号北60米,成人,"129.282163,47.136666",2360
B01C90LOAB,森马,森马(塔河中医医院南),黑龙江省,大兴安岭地区,塔河县,中央大街与二零七省道交口南170米,成人,"124.707665,52.332362",4474
B01C80MDR9,森马,森马(中央街),黑龙江省,黑河市,北安市,中央街与通中路交叉口西50米,成人,"126.770813,47.769224",2722
B01C70MLPC,森马,森马(青冈县中医院西),黑龙江省,绥化市,青冈县,中央大街与汇鑫路交叉口东100米,成人,"126.110210,46.685980",4480
B01C70MJZS,森马,森马(金地购物广场),黑龙江省,绥化市,兰西县,东二道街与麻城大道交叉口西100米,成人,"126.291521,46.260523",604
B01C7006OF,森马,森马(东商业街店),黑龙江省,绥化市,庆安县,东商业街131号,成人,"127.510542,46.878374",1169
B01C600XX1,森马,森马(新东方商厦东南),黑龙江省,佳木斯市,抚远市,寒海公路(新东方商厦东南),成人,"134.141928,47.999245",3328
B01C50NRSJ,森马,森马(新华路店),黑龙江省,牡丹江市,林口县,新华路47号,成人,"130.271064,45.290064",469
B01C501PKU,森马,森马(东风路),黑龙江省,牡丹江市,穆棱市,东风路与和平大街交叉口,成人,"130.526443,44.921766",4590
B01C401Y23,森马,森马(东二街店),黑龙江省,齐齐哈尔市,克东县,蒲峪大道590号,成人,"126.248445,48.037766",662
B01C401CQ9,森马,森马(步行街),黑龙江省,齐齐哈尔市,富裕县,中心大街49附近,成人,"124.469937,47.796715",1999
B01C31C6BS,森马,森马(苇河华宇商场一店),黑龙江省,哈尔滨市,尚志市,苇河镇华宇商场楼下,成人,"128.381930,44.959140",666
B01C31BN6M,森马,森马(通江路),黑龙江省,哈尔滨市,方正县,工程路与通江街交叉口南150米,成人,"129.252969,46.005099",1377
B01C3180AP,森马,森马(哈尔滨安埠商厦折扣店),黑龙江省,哈尔滨市,香坊区,延福街245号安埠商厦1层,成人,"126.693516,45.726721",806
B01C317KVE,森马,森马(山河镇卫生院东),黑龙江省,哈尔滨市,五常市,山河镇山河大街200号,成人,"127.210569,44.710456",1140
B01C317CI9,森马,森马(建设大街店),黑龙江省,哈尔滨市,五常市,建设大街663号,成人,"127.157377,44.917300",4559
B01C30LGXZ,森马,森马(哈尔滨市呼兰区地方志办公室北),黑龙江省,哈尔滨市,呼兰区,南大街243附近,成人,"126.602233,45.982600",1522
B01C30LG1I,森马,森马(哈尔滨依兰老政府街一店),黑龙江省,哈尔滨市,依兰县,光明街24号附近,成人,"129.563859,46.316743",3719
B01C31AR0F,森马,森马(普段着店),黑龙江省,哈尔滨市,方正县,中央大街248号森马店,成人,"128.833309,45.837520",15
B0FFHUNKF4,森马,森马(华辰广场),黑龙江省,齐齐哈尔市,依安县,泰安大街186号华辰广场F2层,成人,"125.310026,47.886809",4335
B0FFGZW06E,森马,森马(步行街店),黑龙江省,绥化市,绥棱县,步行街与繁盛大街交叉口北50米,成人,"127.119935,47.245005",1064
B0FFGXFTO4,森马,森马(新街基步行街店),黑龙江省,鹤岗市,工农区,东解放路北五道街与新街基步行街交叉口北50米,成人,"130.276102,47.332677",3452
B0FFGT9YSZ,森马,森马(步行街店),黑龙江省,七台河市,桃山区,北道街温州大街47号,成人,"131.009898,45.773218",1786
B0FFG8DC0O,森马,森马(中央大街店),黑龙江省,黑河市,孙吴县,解放路80号,成人,"127.325046,49.422271",2333
B0FFG7HNZ4,森马,森马(步行街),黑龙江省,大兴安岭地区,加格达奇区,步行街与胜利路交叉口西南,成人,"124.130401,50.424338",3918
B0FFG6QO04,森马,森马(军川街),黑龙江省,鹤岗市,萝北县,共青路与军川街交叉口西南50米,成人,"130.542971,47.430339",3016
B0FFG52AGF,森马,森马(大庆双鸭山松江国际一店),黑龙江省,双鸭山市,尖山区,新兴大街五马路松江国际购物大厦负1层,成人,"131.157730,46.644042",6
B0FFG3N7V8,森马,森马(生资大厦西),黑龙江省,双鸭山市,宝清县,中央大街528号,成人,"132.203778,46.329192",2420
B0FFFVXVFY,森马,森马(大庆绥化第一百货店),黑龙江省,绥化市,北林区,中兴东路1号正大现代广场,成人,"126.989316,46.636418",78
B0FFFE3TDT,森马,森马(中央商业步行街店),黑龙江省,黑河市,爱辉区,中央街261号,成人,"127.496808,50.250815",3859
B0FFFABM1S,森马,森马(新潮国际购物中心店),黑龙江省,大庆市,让胡路区,常春路新潮大街1号新潮国际购物广场2层,成人,"124.900326,46.601179",3057
B0FFF66A89,森马,森马(大庆让胡路新潮购物广场店),黑龙江省,大庆市,萨尔图区,万达购物广场步行街万欣路73号,成人,"125.095596,46.592879",2132
B0FFF3XYJE,森马,森马(中央大街店),黑龙江省,绥化市,望奎县,中央大街286号,成人,"126.484403,46.834646",2718
B01D30LYHV,森马,森马(中心大街店),黑龙江省,鸡西市,鸡东县,中心大街347号,成人,"131.147218,45.252844",1495
B01D0002PT,森马,森马(镇安路店),黑龙江省,七台河市,勃利县,镇安路74号,成人,"130.577051,45.754517",1355
B01CB0N72Q,森马,森马(会战大街店),黑龙江省,大庆市,萨尔图区,会战大街23号大商集团大庆百货大楼4层,成人,"125.017012,46.600554",2748
B01C60N46W,森马,森马(南八街),黑龙江省,佳木斯市,富锦市,步行街41号,成人,"132.037894,47.252717",276
B01C600XHU,森马,森马(华梅巷店),黑龙江省,佳木斯市,汤原县,团结路与胜利街交叉口西北100米,成人,"129.910256,46.728080",3353
B01C5028TP,森马,森马(东长安街店),黑龙江省,牡丹江市,东安区,东长安街18号,成人,"129.620056,44.583584",285
B01C80MBI0,森马,森马(哈尔滨九三管理局店),黑龙江省,黑河市,嫩江市,九三局新华书店东数3号门市森马专卖店,成人,"125.286939,48.876042",988
B0FFL7APL5,森马,南岗建设街67号森马,黑龙江省,哈尔滨市,南岗区,建设街69号,成人,"126.644115,45.759586",2216
B0FFKM5I32,森马,绥化市北林区万达森马专卖,黑龙江省,绥化市,北林区,农科路东100米,成人,"126.964320,46.642910",1942
B0FFL7AK9A,森马,森马哈尔滨新一百专柜,黑龙江省,哈尔滨市,道里区,石头道街118号,成人,"126.624700,45.770191",2845
B0FFKU6QSV,森马,森马,江苏省,无锡市,新吴区,茂业百货二楼,成人,"120.359201,31.542445",84
