first_category_code,first_category_name,second_category_code,second_category_name,productName,littlecode,sales,mainPic,season,originPrice,preSaleName,littlename,minPrice,sex,styleText,material,categoryCode,productCode,label,size
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 短袜 416293,416293,14,/hmall/test/u0000000005174/main/first/561/1.jpg,2019年春季,27.0,,短袜,27.0,男装,"['00 白色', '03 灰色', '08 深灰色', '09 黑色', '26 橙红色', '62 粉蓝色', '91 任意色']",棉,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000005174,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(普通腰) 415000,415000,10,/hmall/test/u0000000005135/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(普通腰),40.0,【特别尺码】男装,"['09 黑色', '69 藏青色']",棉,"['1421456913', '1292499992', '1419837874', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005135,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(普通腰) 414068,414068,218,/hmall/test/u0000000005130/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(普通腰),40.0,男装,"['00 白色', '04 烟灰色', '07 青灰色', '09 黑色', '15 珊瑚红色', '16 红色', '65 宝蓝色', '69 藏青色']",棉,"['1421456913', '1419837874', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005130,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 短袜 416289,416289,13,/hmall/test/u0000000005115/main/first/561/1.jpg,2019年春季,27.0,,短袜,27.0,男装,"['09 黑色', '69 藏青色']",腈纶,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000005115,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 短袜 416290,416290,19,/hmall/test/u0000000005117/main/first/561/1.jpg,2019年春季,27.0,,短袜,27.0,男装,"['03 灰色', '69 藏青色']",棉,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000005117,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 袜子 416304,416304,102,/hmall/test/u0000000004423/main/first/561/1.jpg,2019年春季,27.0,,袜子,27.0,男装,"['00 白色', '03 灰色']",腈纶,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000004423,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 袜子 416310,416310,164,/hmall/test/u0000000004410/main/first/561/1.jpg,2019年春季,27.0,,袜子,27.0,男装,"['01 乳白色', '03 灰色', '69 藏青色']",腈纶,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000004410,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 袜子 416306,416306,96,/hmall/test/u0000000004770/main/first/561/1.jpg,2019年春季,27.0,,袜子,27.0,男装,"['03 灰色', '61 水蓝色']",棉,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000004770,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(印花) 417031,417031,3,/hmall/test/u0000000004623/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(印花),40.0,【特别尺码】男装,"['04 烟灰色', '55 青绿色']",棉,"['1419837874', 'ALL', '368897610', '874111128', '1292499992', '1421456913']",u0000000004623,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(低腰) 414992,414992,27,/hmall/test/u0000000005034/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(低腰),40.0,男装,"['06 铅灰色', '64 湖蓝色']",棉,"['874111128', 'ALL', '1421456913', '1419837874', '1421098446', '368897610', '4181207028']",u0000000005034,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(低腰) 414067,414067,19,/hmall/test/u0000000005177/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(低腰),40.0,【特别尺码】男装,"['00 白色', '02 浅灰色', '09 黑色', '16 红色', '58 深绿色', '69 藏青色']",棉,"['1421456913', 'ALL', '368897610', '874111128', '1292499992', '1419837874']",u0000000005177,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(条纹) 416366,416366,69,/hmall/test/u0000000005061/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(条纹),40.0,男装,"['09 黑色', '69 藏青色']",棉,"['1421456913', '1419837874', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005061,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 袜子 416305,416305,87,/hmall/test/u0000000004822/main/first/561/1.jpg,2019年春季,27.0,,袜子,27.0,男装,"['00 白色', '09 黑色']",腈纶,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000004822,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 平脚短裤(印花) 415016,415016,3,/hmall/test/u0000000004232/main/first/561/1.jpg,2019年春季,40.0,,平脚短裤(印花),40.0,【特别尺码】男装,"['61 水蓝色', '69 藏青色']",棉,"['1421456913', '1292499992', '1419837874', '1421098446', '368897610', '4181207028', 'ALL']",u0000000004232,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 短袜 416301,416301,45,/hmall/test/u0000000004407/main/first/561/1.jpg,2019年春季,27.0,,短袜,27.0,男装,"['01 乳白色', '04 烟灰色', '09 黑色', '69 藏青色']",锦纶,"['ALL', '1421456913', '1419837874', '1421098446', '4181207031', '511241072']",u0000000004407,new_product,['MSC025']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(条纹) 416366,416366,7,/hmall/test/u0000000005065/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(条纹),40.0,【特别尺码】男装,"['09 黑色', '69 藏青色']",棉,"['1421456913', '1292499992', '1419837874', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005065,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(印花) 415005,415005,54,/hmall/test/u0000000005047/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(印花),40.0,男装,"['09 黑色', '56 橄榄色']",棉,"['1419837874', '1421456913', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005047,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(低腰) 414991,414991,1,/hmall/test/u0000000005031/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(低腰),40.0,【特别尺码】男装,"['16 红色', '58 深绿色']",棉,"['1421456913', 'ALL', '368897610', '874111128', '1292499992', '1419837874']",u0000000005031,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 袜子 416302,416302,118,/hmall/test/u0000000004852/main/first/561/1.jpg,2019年春季,27.0,,袜子,27.0,男装,['16 红色'],棉,"['1421456913', '1419837874', '1421098446', '4181207031', '511241072', 'ALL']",u0000000004852,new_product,['MSC025']
