frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
运动生活两相宜,109202000,Yessing上装,1010000,0,349,1584025,https://yanxuan.nosdn.127.net/b27b321bbe4816272ac3cf5cd772484e.png,Yessing男式连帽单车夹克,定义更轻巧的秋季夹克,349,2493,大身面料： 锦纶85% 氨纶15% 网眼面料：聚酯纤维 100% 帽里网布：聚酯纤维 100%,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1584020,https://yanxuan.nosdn.127.net/fdafe44f8e13626a452764a03199ac08.jpg,Yessing男式秋季棒球领夹克,每个男生都改有的秋季棒球服,299,2284,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1585012,https://yanxuan.nosdn.127.net/ea1a4bf671ecb5dfc9872667019ef11d.jpg,Yessing女式秋季百搭棒球领夹克,合体舒适，时尚棒球夹克,299,4346,,,漂亮精致10	质量上乘9	款式不错6	很舒服5
运动生活两相宜,109202000,Yessing上装,1010000,0,109,1574012,https://yanxuan.nosdn.127.net/9b6a9d596ef6cc528a97f9a8ddd128ac.jpg,Yessing女式高支高密圆领塑形T恤,高支高密，专属舒适定制,89,217,84% 锦纶 16% 氨纶,,质量上乘15	很舒服11	面料好7	颜色好看5	漂亮精致5
运动生活两相宜,109202000,Yessing上装,1010000,0,109,1586015,https://yanxuan.nosdn.127.net/9195a92ec28f7d04017ec8b256270b02.jpg,Yessing男式高支高密圆领亲肤T恤,舒适打底，上手就觉得贵的面料,89,578,84% 锦纶 16% 氨纶,,质量上乘77	很舒服44	面料好18	漂亮精致16	性价比高14	包装用心10	穿着不错9	手感好9
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1623021,https://yanxuan.nosdn.127.net/bfebef210afc07091bff2c08fc13b483.png,Yessing男式高支高密织带套头卫衣,【做精致男生】精选高质感消光纤维，品味出众,199,2002,,,质量上乘19	漂亮精致8	很舒服8	面料好7	质感好5	性价比高5
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1624013,https://yanxuan.nosdn.127.net/01d20f7c00c3268129c850186be4b0e2.jpg,Yessing女式时尚拼色蝙蝠袖卫衣,蝙蝠显瘦设计，为魅力加分,159,2806,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1663055,https://yanxuan.nosdn.127.net/8a1775c8c1933de047112a3325cc6d8f.jpg,陈立农同款Yessing男式印花连帽卫衣,纯色印花，精致棉感卫衣,299,472,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1623020,https://yanxuan.nosdn.127.net/8fb26f2defabecd2815b7e5de5e30eb4.jpg,Yessing女式高支高密半开襟卫衣,半开襟，潮流的标志设计,229,3162,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1662043,https://yanxuan.nosdn.127.net/1849dc034460d82c2f87ae14535960e1.jpg,陈立农同款Yessing男式棉质螺纹卫衣,【农农同款】活力青春范,299,325,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,259,1622021,https://yanxuan.nosdn.127.net/222eebe82c60bae7662af0e33902f221.jpg,Yessing女式活力撞色连帽卫衣,复古风潮，流行配色,259,1778,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,499,1587013,https://yanxuan.nosdn.127.net/63d11cafe3d9afef09f82d181672b0d1.jpg,Yessing女式潮流假两件拼接夹克,高级拼接设计，层次美感,399,3314,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,549,1587015,https://yanxuan.nosdn.127.net/5ea7d1cce3b38ee41df3b79753f5fc64.jpg,Yessing女式中长款潮流连帽风衣,静有女神气场，动如公主般甜美,499,1915,,,质量上乘24	漂亮精致22	很舒服6
运动生活两相宜,109202000,Yessing上装,1010000,0,469,1587023,https://yanxuan.nosdn.127.net/3907603443f1cf93d5d10121019f8ca4.jpg,Yessing男式中长款廓形连帽风衣,【陈立农同款】廓形感塑造帅气风度,469,3481,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,699,1586010,https://yanxuan.nosdn.127.net/b9c6ebd890bc6535ad5a1f575f94f869.jpg,Yessing男式中长款时尚运动连帽风衣,【明星同款】把凉风细雨通通拒之衣外,599,2256,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,459,1587017,https://yanxuan.nosdn.127.net/5ea4499fb61435fa3d2f2771b0d990d5.jpg,Yessing女式潮范两穿连衣裙风衣,秋季立领风衣裙，女神范,349,1303,,都市运动、职场商务、休闲时尚,
运动生活两相宜,109202000,Yessing上装,1010000,0,259,1664011,https://yanxuan.nosdn.127.net/841473326588ba0e4613cc2b8a6e47f7.jpg,【张一山推荐】男式高质感廓形开衫外套,【张一山推荐】硬朗廓形也可清新扑面,219,4864,,,质量上乘17	漂亮精致8
运动生活两相宜,109202000,Yessing上装,1010000,0,259,1665013,https://yanxuan.nosdn.127.net/5303b84e93b5e083b538527365e1c241.jpg,【谭松韵同款】女式廓形轻运动开衫外套,秋季优选外套，舒适好看,219,2019,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,499,1586003,https://yanxuan.nosdn.127.net/6144f70b4178985dfb666a4cd2fff8b8.jpg,Yessing男式两穿双面夹克,两面可穿，两种风格,499,2519,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,459,1586012,https://yanxuan.nosdn.127.net/2ec129604ac6f657e9f72edcb6be3353.jpg,Yessing男式短款防风防泼水连帽风衣,商务运动风衣，防风防泼水,399,3568,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,259,1643001,https://yanxuan.nosdn.127.net/bba6887e849052cc46f4e59b01dacac3.png,女式一体织运动生活两穿长袖衫,时尚运动+优雅打底，舒适两穿衣,199,1397,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,279,1642008,https://yanxuan.nosdn.127.net/13cc966b065159a8977a50bcf7af61b2.png,男式一体织生活运动两穿长袖衫,秋冬运动+优雅打底，优雅两穿衣,199,4286,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,3419057,https://yanxuan.nosdn.127.net/d0c25aa951caecc7e69e6821552d4adc.jpg,女式轻复古运动套装（可单买）,简约复古风，引领风潮,299,866,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,3420073,https://yanxuan.nosdn.127.net/a2aaa2b62b2cb03d5d06791a7a76f1b9.jpg,男式轻复古运动套装（可单买）,简约复古风，舒适好看,299,885,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,299,1636021,https://yanxuan.nosdn.127.net/ad49347a888486254c6d293dd55e8947.jpg,男式字母印花连帽加绒卫衣,印花潮款卫衣，冬季新鲜度MAX,199,852,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,259,1636022,https://yanxuan.nosdn.127.net/af0135898b6a566c6bbf41913368cd31.jpg,女式优雅高领抓绒卫衣,优雅高领，卫衣界的“女神”,179,1213,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,899,1644025,https://yanxuan.nosdn.127.net/d051e7937cfed71078d77521dffb2ed0.jpg,Yessing中长款可拆卸羽绒服两件套,自由拆卸，三种穿法,699,555,,,
运动生活两相宜,109202000,Yessing上装,1010000,0,799,1644023,https://yanxuan.nosdn.127.net/cd407f01e665bd656b7be108e0e4b9f6.jpg,Yessing短款风衣羽绒服两件套,自由组合穿搭，一件伴你过三季 ,599,711,,休闲时尚、职场商务、都市运动,
运动生活两相宜,109202000,Yessing上装,1010000,0,229,1637025,https://yanxuan.nosdn.127.net/2859196f1bb2cad159c6feef126987c7.jpg,女式短款小落肩加绒卫衣,拉高腰线，腰以下全是腿,149,894,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1440010,https://yanxuan.nosdn.127.net/461d27583e52afb337ff79ccffe7ba95.png,女式打底吊带,高级打底，撩拨你的衣橱,54.4,871,,,漂亮精致50	质量上乘38	很舒服24	手感好13	尺寸合适10	质感好9	性价比高8	做工精良7
贴身关怀 少束缚,1093011,女式内衣,1010000,5,79,1132001,https://yanxuan.nosdn.127.net/92f3d6db809516bdb15d6662ee6549bd.png,女式皮马棉基础背心,源自皮马棉的轻奢感,79,166,,,质量上乘555	很舒服433	性价比高146	手感好106	尺寸合适61	面料好57	弹性不错45	漂亮精致40
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1438008,https://yanxuan.nosdn.127.net/df6318679779d97487bceb4ea4421509.png,女式背心式文胸（可插垫）,无痕体感，给身体放个24小时的假,99,3342,,,很舒服234	漂亮精致66	质量上乘61	手感好23	很好穿22	尺寸合适16	穿着不错15	款式不错15
贴身关怀 少束缚,1093011,女式内衣,1010000,2,49,1193005,https://yanxuan.nosdn.127.net/7dd8360025564712f66c3c84a8edf5f0.png,女式自然无缝bra短吊带,基础设计，小胸也能微性感,39,9815,,,很舒服5224	质量上乘1158	很好穿516	性价比高441	手感好283	尺寸合适247	穿着不错244	弹性不错208
贴身关怀 少束缚,1093011,女式内衣,1010000,2,139,1130048,https://yanxuan.nosdn.127.net/85552dd8d37bb5e73557b2bb1c54396d.png,女式竹纤维内衣套装,取自竹纤维的氧气贴肤,139,3432,,,很舒服712	质量上乘290	性价比高115	很好穿76	手感好70	尺寸合适62	穿着不错32	面料轻柔28
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1440009,https://yanxuan.nosdn.127.net/47ca37414df3f80365efce1b3dba4c9c.png,女式基础无钢圈文胸,随身而动的安心,99,226,,,很舒服222	质量上乘111	尺寸合适46	性价比高33	很好穿21	做工精良17	穿着不错15	漂亮精致14
贴身关怀 少束缚,1093011,女式内衣,1010000,2,229,1616018,https://yanxuan.nosdn.127.net/5c39f463c9603ec737a0e2d79b6f1cb5.png,女式无钢圈调整型文胸,健康塑胸，专业型调整,229,19292,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,2,69,1156016,https://yanxuan.nosdn.127.net/660cc8bf1735f9164219340cd8ede9b6.jpg,女式蕾丝中腰塑身短裤,仅售供应商建议价的1/5,69,2575,,,质量上乘362	很舒服299	漂亮精致135	很好穿91	性价比高55	尺寸合适45	做工精良43	手感好30
贴身关怀 少束缚,1093011,女式内衣,1010000,2,79,1156015,https://yanxuan.nosdn.127.net/3ddca0082345c10d94037fc3e0221280.jpg,女式经典高腰塑身短裤,仅售供应商建议价的1/6,55.3,1681,,,很舒服438	质量上乘373	很好穿78	性价比高72	不勒62	手感好60	弹性不错54	尺寸合适47
贴身关怀 少束缚,1093011,女式内衣,1010000,3,169,1156017,https://yanxuan.nosdn.127.net/e89aefdc3444b82dbc62bf04a3e9f51b.png,女式蕾丝连体塑身衣,学会管理脂肪，合适的优雅自己,135,11554,,,很舒服646	质量上乘581	漂亮精致362	不勒298	性价比高193	很好穿137	尺寸合适120	穿着不错103
